index,occupation,energy_Eh,energy_eV,irrep
526,0.0,0.873721,23.7752,
527,0.0,0.874129,23.7863,
528,0.0,0.874417,23.7941,
529,0.0,0.875241,23.8165,
530,0.0,0.875681,23.8285,
531,0.0,0.879237,23.9252,
532,0.0,0.883006,24.0278,
533,0.0,0.888919,24.1887,
534,0.0,0.889068,24.1928,
535,0.0,0.889312,24.1994,
536,0.0,0.889562,24.2062,
537,0.0,0.889933,24.2163,
538,0.0,0.923064,25.1178,
539,0.0,0.923754,25.1366,
540,0.0,0.924333,25.1524,
541,0.0,0.925063,25.1722,
542,0.0,0.927874,25.2487,
543,0.0,0.92816,25.2565,
544,0.0,0.928785,25.2735,
545,0.0,0.931222,25.3398,
546,0.0,0.931269,25.3411,
547,0.0,0.931305,25.3421,
548,0.0,0.931317,25.3424,
549,0.0,0.931437,25.3457,
550,0.0,0.93286,25.3844,
551,0.0,0.932917,25.386,
552,0.0,0.933103,25.391,
553,0.0,0.933376,25.3985,
554,0.0,0.935427,25.4543,
555,0.0,0.93567,25.4609,
556,0.0,0.935687,25.4613,
557,0.0,0.935865,25.4662,
558,0.0,0.936089,25.4723,
559,0.0,0.937297,25.5051,
560,0.0,0.938446,25.5364,
561,0.0,0.940105,25.5815,
562,0.0,0.940862,25.6022,
563,0.0,0.941352,25.6155,
564,0.0,0.941416,25.6172,
565,0.0,0.941599,25.6222,
566,0.0,0.95738,26.0516,
567,0.0,0.983661,26.7668,
568,0.0,0.983801,26.7706,
569,0.0,0.983815,26.771,
570,0.0,0.983827,26.7713,
571,0.0,0.98388,26.7727,
572,0.0,0.98396,26.7749,
573,0.0,0.984022,26.7766,
574,0.0,0.984236,26.7824,
575,0.0,1.019862,27.7519,
576,0.0,1.019875,27.7522,
577,0.0,1.019879,27.7523,
578,0.0,1.03591,28.1886,
579,0.0,1.036785,28.2123,
580,0.0,1.036953,28.2169,
581,0.0,1.04818,28.5224,
582,0.0,1.048344,28.5269,
583,0.0,1.048462,28.5301,
584,0.0,1.048591,28.5336,
